FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
53069,16.21575836,4.1831657803,4.3940711886,7.5675675676,16.419688554,35.1,5.6,22.3,19.173859066,1,12.437810945,8.1090174966,42,40,20.3,112423,25592,7.5714285714,122.6993865,4.9,13.698630137,84.804297774,48.6
53071,17.808227389,4.1442435313,4.4184839477,6.160300287,14.374901724,29.1,8.1,15.6,18.255370337,6,18.862311079,8.7480344606,43,48,14.9,113644,24862,20.361777428,239.21662762,8.1,16.971862439,72.779907975,11.6
53073,14.991742172,4.2332961422,4.5147371714,5.7779212395,13.819181981,28,7.8,12.7,19.840124197,17,10.545940754,7.9955258996,42,46,11.3,117735,26871,16.964782206,193.71339855,4.9,20.503144654,76.30606457,23.3
53075,16.438005332,4.2918686324,4.1696172562,5.228531856,15.036434066,26.5,7.4,16.6,17.970174584,8,2.7173913043,6.2354083051,43,56,13.7,96312,14382,18.094853139,181.23814268,8.4,23.336165392,61.303682362,17.4
53077,25.846895895,5.1710111277,4.4485742774,6.800698651,15.784398791,34.3,7.9,20.8,16.445375257,68,38.204811555,15.853478458,37,49,24.5,96255,24071,26.880736414,272.82972263,10.2,20.912873226,80.057359715,18.3
06000,17.61357003,3.8561413861,3.7336275971,6.876064237,11.474007485,24.3,8.8,17.7,18.1269825,5252,17.446883697,8.3418540182,36,43,15.6,154403,29898,22.505004185,420.87688216,8.1,26.443091434,73.72124593,42.2
06001,14.969891302,3.8085572858,3.9880290145,7.2056924971,11.115114309,22.2,8.9,14.6,18.004758795,109,9.9083379077,4.9787774489,37,46,9.8,196571,38001,19.706332658,628.78196249,8.7,23.464600137,60.927278517,47.6
06003,20.346033612,5.0388261107,4.9894394376,nan,18.476940783,16.8,6.8,20.2,21.362634727,4,nan,7.0048309179,41,32,29.6,127917,30242,41.791044776,442.47787611,5.4,27.868852459,61.818181818,23.1
06005,16.720466126,4.3275494962,4.4930309348,6.4997592682,15.898455233,30.1,8.3,24.4,24.729984473,19,16.126205083,6.014642236,42,47,12.5,116042,26361,18.434299601,237.07073752,9,18.36446951,78.766659137,44.9
06007,18.852483369,4.722006569,5.0687201333,6.0865940087,16.64906956,30.2,7.4,23.1,21.82457808,57,15.830989023,7.6615857133,40,40,16.1,110060,20269,20.718951364,327.05730855,7.6,22.369871758,75.920536913,24
06009,16.079659485,4.2356056497,4.722684653,6.0318664643,15.591759436,28.3,8.2,26.8,23.433752095,26,12.970658607,7.3876129978,42,42,19.6,120885,28830,28.746928747,327.24573793,8,20.943290286,76.773428233,59.6
06011,24.187541495,4.8384575391,4.6625533153,6.1355764473,15.590407719,39,7.8,26.2,19.576268696,6,25.54673892,11.517660044,33,45,15.3,104097,24039,19.003595275,200.95805585,6.6,19.730305181,78.667229908,33.1
06013,14.92119463,3.8454953879,4.0949381958,6.9424309031,11.21125472,25.1,8.9,16.1,18.266567574,113,10.186162286,5.8935427934,40,48,9.9,196326,41345,19.833376166,336.02779077,8.1,20.477675535,67.502424795,51.5
